timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/29 19:05:59.264, 0 %, 0 %, 3 MiB, 46068 MiB, 31.74 W
2026/03/29 19:06:09.265, 0 %, 0 %, 3 MiB, 46068 MiB, 31.83 W
2026/03/29 19:06:19.265, 0 %, 0 %, 3 MiB, 46068 MiB, 31.83 W
2026/03/29 19:06:29.266, 0 %, 0 %, 3 MiB, 46068 MiB, 31.96 W
2026/03/29 19:06:39.267, 0 %, 0 %, 3 MiB, 46068 MiB, 31.93 W
2026/03/29 19:06:49.268, 0 %, 0 %, 3 MiB, 46068 MiB, 31.71 W
2026/03/29 19:06:59.269, 0 %, 0 %, 3 MiB, 46068 MiB, 31.82 W
2026/03/29 19:07:09.270, 0 %, 0 %, 3 MiB, 46068 MiB, 31.65 W
2026/03/29 19:07:19.271, 0 %, 0 %, 3 MiB, 46068 MiB, 31.75 W
2026/03/29 19:07:29.272, 0 %, 0 %, 3 MiB, 46068 MiB, 31.92 W
2026/03/29 19:07:39.273, 0 %, 0 %, 3 MiB, 46068 MiB, 31.75 W
2026/03/29 19:07:49.274, 0 %, 0 %, 3 MiB, 46068 MiB, 31.82 W
2026/03/29 19:07:59.275, 0 %, 0 %, 3 MiB, 46068 MiB, 31.83 W
2026/03/29 19:08:09.276, 0 %, 0 %, 3 MiB, 46068 MiB, 31.83 W
2026/03/29 19:08:19.277, 0 %, 0 %, 3 MiB, 46068 MiB, 31.83 W
2026/03/29 19:08:29.278, 0 %, 0 %, 3 MiB, 46068 MiB, 31.82 W
2026/03/29 19:08:39.279, 0 %, 0 %, 3 MiB, 46068 MiB, 31.83 W
2026/03/29 19:08:49.279, 0 %, 0 %, 3 MiB, 46068 MiB, 31.91 W
2026/03/29 19:08:59.280, 0 %, 0 %, 3 MiB, 46068 MiB, 31.82 W
2026/03/29 19:09:09.281, 0 %, 0 %, 3 MiB, 46068 MiB, 31.82 W
2026/03/29 19:09:19.282, 0 %, 0 %, 3 MiB, 46068 MiB, 31.94 W
2026/03/29 19:09:29.284, 0 %, 0 %, 3 MiB, 46068 MiB, 31.83 W
2026/03/29 19:09:39.285, 0 %, 0 %, 3 MiB, 46068 MiB, 31.71 W
2026/03/29 19:09:49.286, 0 %, 0 %, 3 MiB, 46068 MiB, 31.96 W
2026/03/29 19:09:59.287, 0 %, 0 %, 3 MiB, 46068 MiB, 31.80 W
2026/03/29 19:10:09.288, 0 %, 0 %, 3 MiB, 46068 MiB, 31.78 W
